Question,Subject,Answer,A,B,C,D
বিগব্যাঙ তত্ত্বের প্রবক্তা–,GENERAL-SCIENCE,B,আইনস্টাইন,জি. ল্যামেটার,স্টিফেন হকিং,গ্যালিলিও
মহাজাগতিক রশ্মির আবিষ্কারক–,GENERAL-SCIENCE,A,হেস,আইনস্টাইন,টলেমি,হাবল
ইউরি গ্যাগারিন মহাশূন্যে যান–,GENERAL-SCIENCE,B,১৯৫৬ সালে,১৯৬১ সালে,১৯৬৪ সালে,১৯৬৯ সালে
গ্রিনিচ মানমন্দির অবস্থিত-,GENERAL-SCIENCE,A,যুক্তরাজ্যে,যুক্তরাষ্ট্রে,ফ্রান্সে,জার্মানিতে
তিন সদস্যের একটি বিতর্ক দলের সদস্যদের গড় বয়স ২৪ বছর। যদি কোনো সদস্যের বয়সই ২১ বছরের নিচে না হয় তবে তাদের কোনো একজনের সর্বোচ্চ বয়স কত হতে পারে?,MATHEMATICAL-REASONING,B,২৫ বছর,৩০ বছর,২৮ বছর,৩২ বছর
\((\sqrt[3]3×\sqrt[3]4)^6\) = কত?,MATHEMATICAL-REASONING,D,12,48,36,144
একটি সমকোণী ত্রিভুজের লম্ব ভূমি অপেক্ষা ২ সে.মি. ছোট; কিন্তু অতিভুজ ভূমি অপেক্ষা ২ সে. মি. বড়। অতিভুজের দৈর্ঘ্য কত?,MATHEMATICAL-REASONING,A,১০ সে. মি.,৮ সে. মি.,৪ সে. মি.,৬ সে. মি.
\(\mathrm {m}\) সংখ্যক সংখ্যার গড় \(\mathrm x\) এবং \(\mathrm n\) সংখ্যক সংখ্যার গড় \(\mathrm y\) হলে সব সংখ্যার গড় কত?,MATHEMATICAL-REASONING,C,\(\mathrm {x+y \over mn}\),\(\mathrm {x+y \over m+n}\),\(\mathrm {mx+ny \over m+n}\),\(\mathrm {mx+ny \over mn}\)
যদি \(({\mathrm {a\over b})^{\mathrm x-3}}=({\mathrm {b\over a}})^{\mathrm x-5}\) হয় তবে \(\mathrm x\) এর মান কত?,MATHEMATICAL-REASONING,D,8,3,5,4
\(\sqrt[3]{\sqrt[3]{a^3}}\) = কত?,MATHEMATICAL-REASONING,C,a,1,\(\mathrm a^{1\over 3}\),\(\mathrm a^{ 3}\)
"একটি সাবানের আকার ৫ সে.মি. × ৪ সে.মি. × ১.৫ সে.মি. হলে ৫৫ সে.মি. দৈর্ঘ্য, ৪৮ সে.মি. প্রস্থ এবং ৩০ সে.মি. উচ্চতাবিশিষ্ট একটি বাক্সের মধ্যে কতটি সাবান রাখা যাবে?",MATHEMATICAL-REASONING,A,২৬৪০টি,১৩২০টি,৩৬০০টি,৫২৪০টি
"যদি সেট A={5, 15, 20,30} এবং B={3,5,15,18,20} হয় তবে নিচের কোনটি A∩B নির্দেশ করবে?",MATHEMATICAL-REASONING,C,"{3,18,30}","{3,5,15,18,20,30}","{5,15,20}",কোনটিই নয়
"১,১,২,৩,৫,৮,১৩,২১.............. ধারার ১০ম পদটি কত?",MATHEMATICAL-REASONING,B,৩৪,৫৫,৪৮,৬৪
\(\mathrm {4^x+4^x+4^x+4^x}\) এর মান নিচের কোনটি?,MATHEMATICAL-REASONING,C,\(16^\mathrm x\),\(4^\mathrm {4x}\),\(2^\mathrm {2x+2}\),\(2^\mathrm {8x}\)
"রকীব সাহেব ৩,৭৩,৮৯৯ টাকা ব্যাংকে রাখলেন। \(\mathrm{৭ {১\over ২}}\) বছর পর তিনি আসল টাকার \(\mathrm{১{১\over ৪}}\) অংশ সুদ পেলেন। ব্যাংকের সুদের হার কত?",MATHEMATICAL-REASONING,B,\(\mathrm{১২ {১ \over ২}\%}\),\(\mathrm{১৬ {২ \over ৩}\%}\),\(\mathrm{৮{১ \over ৩}\%}\),\(\mathrm{১১ {১ \over ৯}\%}\)
নিচের কোনটি \((\sqrt 5 -\sqrt 3)\) এর সমান?,MATHEMATICAL-REASONING,D,\(\sqrt 2\),\(1\over 2(\sqrt 5-\sqrt 3)\),\(1\over \sqrt 5\)+\(1\over \sqrt 3\),\(2\over \sqrt 3+ \sqrt 5\)
৫ জন তাঁত-শ্রমিক ৫ দিনে ৫টি কাপড় বুনতে পারে। একই ধরনের ৭টি কাপড় বুনতে ৭ জন শ্রমিকের কত দিন লাগবে?,MATHEMATICAL-REASONING,A,৫ দিন,\(\mathrm{২৫ \over ৪৯}\) দিন,\(\mathrm{৪৯ \over ২৫}\) দিন,৭ দিন
\(\mathrm{36.2^{3x-8}=3^2}\) হলে \(\mathrm x\) এ রর মান কত?,MATHEMATICAL-REASONING,D,\(7\over 3\),3,\(8\over 3\),2
একটি ত্রিভুজের দুটি কোণের পরিমাণ ৩৫°ও ৫৫°। ত্রিভুজটি কোন ধরনের?,MATHEMATICAL-REASONING,A,সমকোণী,সমবাহু,সমদ্বিবাহু,স্থূলকোণী
"\((\mathrm {x-y,3)=(0,x+2y})\) হলে \((\mathrm {x,y})\)= কত?",MATHEMATICAL-REASONING,A,"(1,1)","(1,3)","(-1,-1)","(-3,1)"
\(\mathrm {x\over y}\) এর সাথে কত যোগ করলে যোগফল \(\mathrm {y\over x}\) হবে?,MATHEMATICAL-REASONING,C,\(\mathrm {x^2-y^2\over xy}\),\(\mathrm {2x^2-y^2\over xy}\),\(\mathrm {y^2-x^2\over xy}\),\(\mathrm {x^2-2y^2\over xy}\)
একটি আয়তাকার ঘরের প্রস্থ তার দৈর্ঘ্যের \(২\over ৩\) অংশ। ঘরটির পরিসীমা ৪০ মিটার হলে তার ক্ষেত্রফল কত?,MATHEMATICAL-REASONING,B,৬০ বর্গমিটার,৯৬ বর্গমিটার,৭২ বর্গমিটার,৬৪ বর্গমিটার
"৩ সে.মি., ৪ সে.মি. ও ৫ সে.মি. বাহুবিশিষ্ট তিনটি ঘনক গলিয়ে নতুন একটি ঘনক তৈরি করা হল। নতুন ঘনকের বাহুর দৈর্ঘ্য কত হবে?",MATHEMATICAL-REASONING,C,৭.৫ সে.মি.,৬.৫ সে.মি.,৬ সে.মি.,৭ সে.মি.
একটি রম্বসের কর্ণদ্বয়ের দৈর্ঘ্য ৮ সে.মি. ও ৯ সে.মি.। এই রম্বসের ক্ষেত্রফলের সমান ক্ষেত্রফলবিশিষ্ট বর্গক্ষেত্রের পরিসীমা কত?,MATHEMATICAL-REASONING,A,২৪ সে.মি,১৮ সে.মি,৩৬ সে.মি,১২ সে.মি
‘চর্যাপদ’ কত সালে আবিষ্কৃত হয়?,BANGLA-LITERATURE,C,১৮০০,১৮৫৭,১৯০৭,১৯০৯
বাংলা সাহিত্যের পঠন-পাঠনের সুবিধার জন্য বাংলা সাহিত্যের ইতিহাসকে তিনটি যুগে ভাগ করা হয়েছে- বাংলা সাহিত্যের প্রাচীন যুগ।,BANGLA-LITERATURE,C,৪৫০-৬৫০,৬৫০-৮৫০,৬৫০-১২০০,৬৫০-১২৫০
মধ্যযুগের কবি নন কে?,BANGLA-LITERATURE,A,জয়নন্দী,বড়ু চণ্ডীদাস,গোবিন্দ দাস,জ্ঞান দাস
বাংলা সাহিত্যে অন্ধকার যুগ বলতে-,BANGLA-LITERATURE,B,১১৯৯-১২৫০ পর্যন্ত,১২০১-১৩৫০ পর্যন্ত,১২৫০-১৩৫০ পর্যন্ত,১২৫০-১৪৫০ পর্যন্ত
ফোর্ট উইলিয়াম কলেজের অধ্যক্ষ কে ছিলেন?,BANGLA-LITERATURE,A,উইলিয়াম কেরি,লর্ড ওয়েলেসলি,মৃত্যুঞ্জয় বিদ্যালঙ্কার,রামরাম বসু
‘বাংলা সাহিত্যের জনক’ হিসেবে কার নাম চির স্মরণীয়?,BANGLA-LITERATURE,,মাইকেল মধুসূদন দত্ত,রাজা রামমোহন রায়,ঈশ্বরচন্দ্র বিদ্যাসাগর,বঙ্কিমচন্দ্র চট্টোপাধ্যায়
মাইকেল মধুসূদন দত্তের রচনা নয় কোনটি?,BANGLA-LITERATURE,C,তিলোত্তমা কাব্য,মেঘনাদ বধ কাব্য,বেতাল পঞ্চবিংশতি,বীরাঙ্গনা
‘কুলীন কুলসর্বস্ব’ নাটকটি কার লেখা?,BANGLA-LITERATURE,C,মাইকেল মধুসূদন দত্ত,দীনবন্ধু মিত্র,রামনারায়ণ তর্করত্ন,রবীন্দ্রনাথ ঠাকুর
‘নীল দর্পণ’ নাটকটির বিষয়বস্তু কি?,BANGLA-LITERATURE,A,নীলকরদের অত্যাচার,ভাষা আন্দোলন,অসহযোগ আন্দোলন,তে-ভাগা আন্দোলন
‘ঘরে বাইরে’ উপন্যাসটি কার লেখা?,BANGLA-LITERATURE,D,আলাওল,কাজী দীন মহম্মদ,কাজী মোতাহের হোসেন,রবীন্দ্রনাথ ঠাকুর
সৈয়দ মুজতবা আলীর প্রবন্ধ গ্রন্থ কোনটি?,BANGLA-LITERATURE,A,পঞ্চতন্ত্র,কালান্তর,প্রবন্ধ সংগ্রহ,শাশ্বত বঙ্গ
‘তত্ত্ববোধিনী’ পত্রিকার সম্পাদক কে ছিলেন?,BANGLA-LITERATURE,A,অক্ষয়কুমার দত্ত,প্যারীচাঁদ মিত্র,ঈশ্বরচন্দ্র বিদ্যাসাগর,সৈয়দ মুজতবা আলী
ভাষা আন্দোলনভিত্তিক নাটক কোনটি?,BANGLA-LITERATURE,A,কবর,পায়ের আওয়াজ পাওয়া যায়,জন্ডিস ও বিবিধ বেলুন,ওরা কদম আলী
‘ভানুসিংহ ঠাকুর’ কার ছদ্মনাম?,BANGLA-LITERATURE,B,দীনবন্ধু মিত্র,রবীন্দ্রনাথ ঠাকুর,প্রমথ চৌধুরী,জীবনানন্দ দাস
কোন কাব্যটি পল্লীকবি জসীমউদ্দীন রচিত?,BANGLA-LITERATURE,B,চৈতালী,রাখালী,ফনিমনসা,আলো পৃথিবী
‘তুমি আসবে বলে হে স্বাধীনতা’- কার কবিতা?,BANGLA-LITERATURE,D,শওকত ওসমান,সিকান্দার আবু জাফর,সুফিয়া কামাল,শামসুর রাহমান
‘দেয়াল’ রচনাটি কার?,BANGLA-LITERATURE,A,হুমায়ূন আহমেদ,তারাশঙ্কর বন্দ্যোপাধ্যায়,বুদ্ধদেব বসু,সেলিনা হোসেন
মুক্তিযুদ্ধভিত্তিক উপন্যাস কোনটি?,BANGLA-LITERATURE,C,ক্রীতদাসের হাসি,মাটি আর অশ্রু,হাঙর নদী গ্রেনেড,সারেং বউ
‘আমার ভাইয়ের রক্তে রাঙানো একুশে ফেব্রুয়ারি আমি কি ভুলিতে পারি।’ এ গানের প্রথম সুরকার কে?,BANGLA-LITERATURE,D,আবদুল গাফফার চৌধুরী,আসাদ চৌধুরী,আলতাফ মাহমুদ,আব্দুল লতিফ
১৯৮৫ সালে নাসির উদ্দিন স্বর্ণপদক কে পান?,BANGLA-LITERATURE,A,সৈয়দ আলী আহসান,সৈয়দ ওয়ালীউল্লাহ,সৈয়দ শামসুল হক,সিকান্দার আবু জাফর
Who is known as the 'Lady with the Lamp'?,ENGLISH-LITERATURE,C,Sorojini Naidu,Hellen Killer,Florence Nightingale,Madame Teresa
For which of the following disciplines Nobel Prize is awarded?,BANGLADESH-AFFAIRS,D,Physics and Chemistry,Physiology or Medicine,"Literature, Peace and Economics",All of the above
Lunar eclipse occurs on-,GENERAL-SCIENCE,B,A new moon day,A full moon day,A half moon day,A moonless day
World 'No-Tobacco Day' is observed on-,INTERNATIONAL-AFFAIRS,D,May 25,May 28,May 30,May 31
Which one of the following ecosystems covers the largest area of the earth's surface?,INTERNATIONAL-AFFAIRS,D,Desert Ecosystem,Mountain Ecosystem,Fresh water Ecosystem,Marine Ecosystem
In Cricket game the length of pitch between the two wickets is-,INTERNATIONAL-AFFAIRS,C,24 yards,23 yards,22 yards,21 yards
IMF (International Monetary Fund) is the result of-,INTERNATIONAL-AFFAIRS,D,Hawana Conference,Geneva Conference,Rome Conference,Brettonwood Conference
Dengue fever is spread by -,GENERAL-SCIENCE,A,Aedes aegypti mosquito,Common House flies,Anophilies mosquito,Rats and squirrels
The International Court of Justice is located in-,INTERNATIONAL-AFFAIRS,D,New York,London,Geneva,Hague
\(\sqrt{169} \mathrm {\ is \ equal \ to -}\),MATHEMATICAL-REASONING,B,11,13,15,17
Badminton is the national sport of-,BANGLADESH-AFFAIRS,A,Malaysia,Scotland,China,Nepal
EURO is the currency of-,INTERNATIONAL-AFFAIRS,B,Asia,Europe,America,Africa
Photosynthesis takes place in-,GENERAL-SCIENCE,C,Roots of the plants,Stems of the plants,Green parts of the plants,All parts of the plants
The term PC means-,COMPUTER-AND-INFORMATION-TECHNOLOGY,C,Private Computer,Prime Computer,Personal Computer,Professional Computer
Fill in the blank of the following sentence with the right form of verb. If I - a king!,ENGLISH-LANGUAGE,C,am,was,were,shall be
Tiger : Zoology:: Mars:-,MENTAL-ABILITY,C,Astrology,Cryptology,Astronomy,Telescopy
Maiden speech means-,ENGLISH-LANGUAGE,A,First speech,Middle speech,Maid servant's speech,Final speech
N.B. stands for -,ENGLISH-LANGUAGE,D,Note before,No bar,Non bearing,Nota bene
"What is the masculine gender of ""mare""?",ENGLISH-LANGUAGE,C,Mermaid,Bear,Stallion,Dog
Botany is to plants as Zoology is to -,MENTAL-ABILITY,D,Flowers,Rivers,Mountains,Animals
১৯৭১ সনের কত তারিখে মুজিবনগরে স্বাধীন বাংলাদেশের অস্থায়ী সরকার গঠিত হয়?,BANGLADESH-AFFAIRS,C,"৭ মার্চ, ১৯৭১ খ্রি.","২৬ মার্চ, ১৯৭১ খ্রি.","১০ এপ্রিল, ১৯৭১ খ্রি.","১৬ ডিসেম্বর, ১৯৭১ খ্রি."
বঙ্গবন্ধু শেখ মুজিবুর রহমান কত তারিখে জন্মগ্রহণ করেন?,BANGLADESH-AFFAIRS,B,"১ মার্চ, ১৯১৯ খ্রি.","১৭ মার্চ, ১৯২০ খ্রি.","১৪ আগস্ট, ১৯৪৭ খ্রি.","২১ জুন, ১৯৪১ খ্রি."
বহুল আলোচিত মুহুরীর চর কোন জেলায় অবস্থিত?,BANGLADESH-AFFAIRS,B,নোয়াখালী,ফেনী,লালমনিরহাট,সাতক্ষীরা
বাংলাদেশ টেলিভিশনের যাত্রা শুরু হয় কত সনে?,BANGLADESH-AFFAIRS,C,১৯৪৭ খ্রি.,১৯৫৮ খ্রি.,১৯৬৪ খ্রি.,১৯৬৫ খ্রি.
বাংলাদেশ জাতীয় সংসদের প্রথম নির্বাচন কবে অনুষ্ঠিত হয়?,BANGLADESH-AFFAIRS,A,"৭ মার্চ, ১৯৭৩ খ্রি.","৭ এপ্রিল, ১৯৭৩ খ্রি.","১৬ ডিসেম্বর, ১৯৭২ খ্রি.","৭ ডিসেম্বর, ১৯৭২ খ্রি."
চিরস্থায়ী বন্দোবস্ত প্রবর্তন করা হয় কত সনে?,BANGLADESH-AFFAIRS,D,১৭৫৭ খ্রি.,১৭৭০ খ্রি.,১৮৫৭ খ্রি.,১৭৯৩ খ্রি.
বাংলাদেশ উন্নয়ন ফোরামের সমন্বয়কারী কোন সংস্থা?,BANGLADESH-AFFAIRS,B,এডিবি,বিশ্বব্যাংক,জাইকা,আইএমএফ
বাংলাদেশ ও বার্মার সীমান্তবর্তী নদী কোনটি?,BANGLADESH-AFFAIRS,C,গোমতী,জিঞ্জিরাম,নাফ,কর্ণফুলী
বাংলাদেশে শেয়ারবাজার কার্যক্রম কোন সংস্থা নিয়ন্ত্রণ করে?,BANGLADESH-AFFAIRS,D,অর্থ মন্ত্রণালয়,প্রধানমন্ত্রীর কার্যালয়,বাংলাদেশ ব্যাংক,সিকিউরিটিজ এক্সচেঞ্জ কমিশন
জামাল নজরুল ইসলাম কে?,BANGLADESH-AFFAIRS,D,ফুটবল খেলোয়াড়,অর্থনীতিবিদ,কবি,বৈজ্ঞানিক
নিচের কোন সংস্থাটি ২১ ফেব্রুয়ারিকে আন্তর্জাতিক মাতৃভাষা দিবস হিসাবে স্বীকৃতি দিয়েছে?,INTERNATIONAL-AFFAIRS,B,UNDP,UNESCO,UNICEF,UNCTAD
‘তাহরির স্কয়ার’ কোথায় অবস্থিত?,INTERNATIONAL-AFFAIRS,C,সিউল,আম্মান,কায়রো,তেহরান
কোনটি D-৮ ভুক্ত দেশ নয়?,INTERNATIONAL-AFFAIRS,B,নাইজেরিয়া,ভারত,মালয়েশিয়া,তুরস্ক
অ্যামনেস্টি ইন্টারন্যাশনাল-এর সদর দপ্তর কোথায় অবস্থিত?,INTERNATIONAL-AFFAIRS,A,লন্ডন,নিউইয়র্ক,প্যারিস,ভিয়েনা
‘আরব বসন্ত’ বলতে কি বুঝায়?,INTERNATIONAL-AFFAIRS,A,আরবের বিভিন্ন দেশে গণজাগরণ,আরব অঞ্চলে বসন্তকাল,আরব রাজতন্ত্র,আরবীয় মহিলাদের ক্ষমতায়ন
আয়তনে পৃথিবীর সবচেয়ে ছোট দেশ?,INTERNATIONAL-AFFAIRS,B,ফিজি,ভ্যাটিকান,কুয়েত,মালদ্বীপ
এশিয়ার হিন্দু রাষ্ট্র কোনটি?,INTERNATIONAL-AFFAIRS,,নেপাল,ভারত,ভূটান,মালদ্বীপ
‘লয়া জিরগা’ কোন দেশের আইন সভা?,INTERNATIONAL-AFFAIRS,D,ফিজি,সিরিয়া,লেবানন,আফগানিস্তান
কোপেনহেগেন কোন দেশের রাজধানী?,INTERNATIONAL-AFFAIRS,A,ডেনমার্ক,বেলজিয়াম,ভিয়েতনাম,আর্মেনিয়া
শ্যামদেশ কোন দেশের পুরাতন নাম?,INTERNATIONAL-AFFAIRS,D,মিসর,ইরাক,ইরান,থাইল্যান্ড
ইউরিয়া সার থেকে উদ্ভিদ কি খাদ্য উপাদান গ্রহণ করে?,GENERAL-SCIENCE,B,ফসফরাস,নাইট্রোজেন,পটাশিয়াম,সালফার
পরমাণুর নিউক্লিয়াসে কি কি থাকে?,GENERAL-SCIENCE,A,নিউট্রন ও প্রোটন,ইলেকট্রন ও প্রোটন,নিউট্রন ও পজিট্রন,ইলেকট্রন ও পজিট্রন
রক্তে হিমোগ্লোবিনের কাজ কি?,GENERAL-SCIENCE,A,অক্সিজেন পরিবহন করা,রোগ প্রতিরোধ করা,রক্ত জমাট বাধতে সাহায্য করা,উপরে উল্লিখিত সব কয়টিই
সুষম খাদ্যের উপাদান কয়টি?,GENERAL-SCIENCE,B,৪টি,৬টি,৫টি,৮টি
ইনসুলিন নিঃসৃত হয় কোথা থেকে?,GENERAL-SCIENCE,,অগ্ন্যাশয় হতে,প্যানক্রিয়াস হতে,লিভার হতে,পিটুইটারী গ্লান্ড হতে
পানির জীব হয়েও বাতাসে নিঃশ্বাস নেয় -,GENERAL-SCIENCE,C,পটকা মাছ,হাঙ্গর,শুশুক,জেলী ফিস
অতিরিক্ত খাদ্য থেকে লিভারে সঞ্চিত সুগার হল -,GENERAL-SCIENCE,A,গ্লাইকোজেন,গ্লুকোজ,ফ্রুক্টোজ (Fructose),সুক্রোজ
প্রাণিজগতের উৎপত্তি ও বংশ সম্বন্ধীয় বিদ্যাকে বলে-,GENERAL-SCIENCE,D,জুওলজী,বায়োলজী,ইভোলিউশন,জেনেটিক্স
কোন খাদ্যে প্রোটিন বেশি?,GENERAL-SCIENCE,C,ভাত,গরুর মাংস,মসুর ডাল,ময়দা
হাড় ও দাঁতকে মজবুত করে-,GENERAL-SCIENCE,D,আয়োডিন,আয়রন,ম্যাগনেসিয়াম,ক্যালসিয়াম ও ফসফরাস
সুনামির কারণ হলো-,GENERAL-SCIENCE,D,আগ্নেয়গিরির অগ্ন্যুৎপাত,ঘূর্ণিঝড়,চন্দ্র ও সূর্যের আকর্ষণ,সমুদ্রের তলদেশে ভূমিকম্প
ডায়াবেটিস রোগ সম্পর্কে যে তথ্যটি সঠিক নয় তা হল-,GENERAL-SCIENCE,B,এ রোগে মানবদেহের কিডনি নষ্ট করে,চিনি জাতীয় খাবার খেলে এ রোগ হয়,এ রোগ হলে রক্তে গ্লুকোজের পরিমাণ বৃদ্ধি পায়,ইনসুলিনের অভাবে এ রোগ হয়
প্রাকৃতিক কোন উৎস হতে সবচেয়ে বেশি মৃদু পানি পাওয়া যায়?,GENERAL-SCIENCE,D,নদী,সাগর,হ্রদ,বৃষ্টিপাত
নবায়নযোগ্য জ্বালানি কোনটি?,GENERAL-SCIENCE,A,পরমাণু শক্তি,কয়লা,পেট্রোল,প্রাকৃতিক গ্যাস
জমির লবণাক্ততা নিয়ন্ত্রণ করে কোনটি?,GENERAL-SCIENCE,B,কৃত্রিম সার প্রয়োগ,পানি সেচ,মাটিতে নাইট্রোজেন ধরে রাখা,প্রাকৃতিক গ্যাস প্রয়োগ
নিচের কোনটির বিদ্যুৎ পরিবাহিতা সবচেয়ে বেশি?,GENERAL-SCIENCE,B,তামা,রূপা,সোনা,কার্বন
কোন ডালের সঙ্গে ল্যাথারাইজম রোগের সম্পর্ক আছে?,GENERAL-SCIENCE,C,অড়হর,ছোলা,খেসারি,মটর
মানবদেহে শক্তি উৎপাদনের প্রধান উৎস-,GENERAL-SCIENCE,C,পরিপাক,খাদ্য গ্রহণ,শ্বসন,রক্ত সংবহন
বরফ পানিতে ভাসে কারণ বরফের তুলনায় পানির-,GENERAL-SCIENCE,B,ঘনত্ব কম,ঘনত্ব বেশি,তাপমাত্রা বেশি,দ্রবণীয়তা বেশি
গাড়ির ব্যাটারিতে কোন এসিড ব্যবহৃত হয়?,GENERAL-SCIENCE,B,নাইট্রিক,সালফিউরিক,হাইড্রোক্লোরিক,পারক্লোরিক
"কোন সংখ্যার ০.১ ভাগ এবং ০.১ ভাগের মধ্যে পার্থক্য ১.০ হলে, সংখ্যাটি কত?",MATHEMATICAL-REASONING,C,১০,৯,৯০,১০০
একটি আয়তাকার কক্ষের ক্ষেত্রফল ১৯২ বর্গমিটার। এর দৈর্ঘ্য ৪ মিটার কমালে এবং প্রস্থ ৪ মিটার বাড়ালে ক্ষেত্রফল অপরিবর্তিত থাকে। আয়তাকার কক্ষের সমান পরিসীমাবিশিষ্ট বর্গাকার কক্ষের ক্ষেত্রফল কত হবে?,MATHEMATICAL-REASONING,D,২২৫ বর্গমিটার,১৪৪ বর্গমিটার,১৬৯ বর্গমিটার,১৯৬ বর্গমিটার
\(\mathrm {(5^{n+2}+35×5^{n-1})\over(4×5^n )}\) এর মান কত?,MATHEMATICAL-REASONING,B,4,8,5,7
"বিষমবাহু ∆ABC এর বাহুগুলির মান এমনভাবে নির্ধারিত যে, AD মধ্যমা দ্বারা গঠিত ∆ABD এর ক্ষেত্রফল \(\mathrm{x}\) বর্গমিটার। ∆ABC এর ক্ষেত্রফল কত?",MATHEMATICAL-REASONING,B,\(\mathrm x^2\) বর্গমিটার,\(2\mathrm x\) বর্গমিটার,\((\mathrm {x\over 2})^2\) বর্গমিটার,\((\mathrm {\sqrt x\over 3})^3\) বর্গমিটার
"A = {1, 2, 3} B = ϕ হলে A∪B= কত?",MATHEMATICAL-REASONING,A,"{1,2,3}","{1,2,ϕ}","{2,3,ϕ}",ϕ
"\(\mathrm {x+y=2,x^2+y^2=4}\) হলে \(\mathrm {x^3+y^3}=\) কত?",MATHEMATICAL-REASONING,A,8,9,16,25
তিনটি ক্রমিক সংখ্যার গুণফল তাদের যোগফলের ৫ গুণ; সংখ্যা তিনটির গড় কত?,MATHEMATICAL-REASONING,D,৬,৩,৫,৪
একটি বৃত্তের পরিধি ও ক্ষেত্রফল যথাক্রমে ১৩২ সেন্টিমিটার ও ১৩৮৬ বর্গসেন্টিমিটার। বৃত্তটির বৃহত্তম জ্যা-এর দৈর্ঘ্য কত?,MATHEMATICAL-REASONING,B,৬৬ সেন্টিমিটার,৪২ সেন্টিমিটার,২১ সেন্টিমিটার,২২ সেন্টিমিটার
একটি শ্রেণিতে যতজন ছাত্র-ছাত্রী আছে প্রত্যেকে তত পয়সার চেয়ে আরও ২৫ পয়সা বেশি করে চাঁদা দেওয়ায় মোট ৭৫ টাকা উঠল। ঐ শ্রেণির ছাত্র-ছাত্রীর সংখ্যা কত?,MATHEMATICAL-REASONING,C,70,85,75,100
"মামুন 240 টাকায় একই রকম কতগুলি কলম কিনে দেখল যে, যদি সে একটি কলম বেশি পেত তাহলে প্রতিটি কলমের মূল্য 1 টাকা কম পড়ত। সে কতগুলো কলম কিনেছিল?",MATHEMATICAL-REASONING,C,13টি,14টি,15টি,16টি
একটি পঞ্চভুজের সমষ্টি -,MATHEMATICAL-REASONING,B,৪ সমকোণ,৬ সমকোণ,৮ সমকোণ,১০ সমকোণ
ঘড়িতে এখন ৮টা বাজে। ঘণ্টার কাঁটা ও মিনিটের কাঁটার মধ্যকার কোণটি হলো -,MENTAL-ABILITY,D,\(\mathrm {১৫০^০}\),\(\mathrm {৬০^০}\),\(\mathrm {৯০^০}\),\(\mathrm {১২০^০}\)
১৭ দিন আগে আবদুর রহিম বলেছিল যে তার জন্মদিন ‘আগামীকাল’। আজ ২৩ তারিখ হলে তার জন্মদিন কোন তারিখে?,MENTAL-ABILITY,A,৭,৮,৯,১০
"০.০৩, ০.১২, ০.৪৮ -শূন্যস্থানে সংখ্যাটি কত হবে?",MENTAL-ABILITY,C,০.৯৬,১.৪৮,১.৯২,১.৫০
"২০ ফুট লম্বা একটি বাঁশ এমনভাবে কেটে দু’ভাগ করা হলো যেন ছোট অংশ বড় অংশের দুই তৃতীয়াংশ হয়, ছোট অংশের দৈর্ঘ্য কত ফুট?",MENTAL-ABILITY,C,৬,৭,৮,১০
ইদানীং আপনার মনে হচ্ছে সংসারে আপনার গুরুত্ব হ্রাস পাচ্ছে। আপনি এমন অবস্থায় -,MENTAL-ABILITY,C,খুবই হতাশাবোধ করবেন,বন্ধুদের সাথে বিষয়টি আলাপ করবেন,সংসারের প্রতি গভীর মনোযোগ দেবেন,ক্ষোভ ও দুঃখ প্রকাশ করে মন খারাপ করবেন
আমার কক্ষে এক বৃদ্ধ দম্পতি ও তাদের সাথে দুই দম্পতি প্রত্যেকে দুইজন করে সন্তানসহ আমার কক্ষে প্রবেশ করলেন। আমার কক্ষে মোট কতজন লোক হ’ল?,MENTAL-ABILITY,C,৯,১০,১১,১২
"ক খ এর পুত্র। খ এবং গ পরস্পর বোন। ঘ হচ্ছে গ এর মা, চ, ঘ এর পুত্র। চ এর সংগে ক এর সম্পর্ক কি?",MENTAL-ABILITY,A,ক এর মামা চ,ক এর খালু চ,চ এর নানা ক,ক এর চাচা চ
প্রাণদ : জল :: মহীজ : ?,MENTAL-ABILITY,B,সম্বর,গ্রহ,নিঃসর্গ,অশ্ব
,MENTAL-ABILITY,,"\(\mathrm{T, \ X}\)","\(\mathrm{X, \ T}\)","\(\mathrm{S, \ T}\)","\(\mathrm{T, \ B}\)"
,BANGLA-LANGUAGE,C,"প্রথমটি অশুদ্ধ, দ্বিতীয়টি শুদ্ধ","প্রথমটি শুদ্ধ, দ্বিতীয়টি অশুদ্ধ",দুটোই অশুদ্ধ,দুটোই শুদ্ধ
নিচের কোন বানানটি শুদ্ধ?,BANGLA-LANGUAGE,A,মনীষী,মনিষি,মনীষি,মনিষী
কোন বাক্যটি শুদ্ধ?,BANGLA-LANGUAGE,D,দৈন্যতা সর্বদা মহত্বের পরিচায়ক নয়,দৈন্য সর্বদা মহত্বের পরিচায়ক নয়,দৈন্যতা সর্বদা মহত্ত্বের পরিচায়ক নয়,দৈন্য সর্বদা মহত্ত্বের পরিচায়ক নয়
‘Consumer goods’ এর উপযুক্ত বাংলা পরিভাষা কী?,BANGLA-LANGUAGE,B,ভোক্তার কল্যাণ,ভোগ্যপণ্য,ক্রয়কৃত পণ্য,ক্রেতার গুণাগুণ
‘জল’ শব্দের সমার্থক নয় কোনটি?,BANGLA-LANGUAGE,C,সলিল,উদক,জলধি,নীর
